PID,object,location,object_and_location
0,0.2222222222222222,0.3333333333333333,0.5555555555555555
1,0.16666666666666666,0.25,0.75
2,0.27777777777777773,0.47222222222222215,0.3611111111111111
3,0.4444444444444444,0.3611111111111111,0.4444444444444444
4,0.4166666666666667,0.4444444444444444,0.38888888888888884
5,0.3055555555555555,0.4166666666666667,0.49999999999999994
6,0.5,0.6944444444444443,0.2222222222222222
7,0.0,0.4444444444444444,0.5555555555555555
8,0.5833333333333334,0.5,0.3055555555555555
9,0.25,0.5555555555555555,0.27777777777777773
10,0.5555555555555555,0.75,0.08333333333333333
11,0.7222222222222222,0.611111111111111,0.19444444444444442
12,0.8888888888888888,0.8888888888888888,0.0
13,0.5555555555555555,0.5555555555555555,0.25
14,0.08333333333333333,0.08333333333333333,0.8333333333333334
15,0.7222222222222222,0.5277777777777778,0.27777777777777773
16,0.3055555555555555,0.38888888888888884,0.5277777777777778
17,0.7777777777777777,0.6944444444444443,0.1111111111111111
18,0.611111111111111,0.8888888888888888,0.0
19,0.611111111111111,0.6388888888888888,0.19444444444444442
20,0.5,0.3611111111111111,0.3333333333333333
21,0.08333333333333333,0.19444444444444442,0.8055555555555555
22,0.4166666666666667,0.4166666666666667,0.38888888888888884
23,0.5277777777777778,0.3333333333333333,0.47222222222222215
24,0.3333333333333333,0.6388888888888888,0.19444444444444442
25,0.6388888888888888,0.611111111111111,0.08333333333333333
26,0.25,0.3611111111111111,0.47222222222222215
27,0.8055555555555555,0.6666666666666666,0.1111111111111111
28,0.4166666666666667,0.75,0.08333333333333333
29,0.27777777777777773,0.19444444444444442,0.6388888888888888
30,0.38888888888888884,0.6944444444444443,0.2222222222222222
31,0.5833333333333334,0.6944444444444443,0.2222222222222222
32,0.5833333333333334,0.5,0.3333333333333333
33,0.75,0.5277777777777778,0.25
34,0.3611111111111111,0.27777777777777773,0.6388888888888888
35,0.8055555555555555,0.47222222222222215,0.0
36,0.5277777777777778,0.5277777777777778,0.3611111111111111
37,0.25,0.611111111111111,0.38888888888888884
38,0.611111111111111,0.5833333333333334,0.1111111111111111
39,0.5277777777777778,0.8055555555555555,0.1111111111111111
