PID,object,location,object_and_location
0,0.5833333333333334,0.5833333333333334,0.3055555555555555
1,1.0,0.6388888888888888,0.0
2,1.0,0.8055555555555555,0.0
3,0.6666666666666666,0.3611111111111111,0.16666666666666666
4,1.0,0.4444444444444444,0.0
5,0.7777777777777777,0.4444444444444444,0.1111111111111111
6,0.6944444444444443,0.08333333333333333,0.3055555555555555
7,0.16666666666666666,0.2222222222222222,0.611111111111111
8,1.0,0.7777777777777777,0.0
9,0.9166666666666666,0.75,0.08333333333333333
10,1.0,0.5833333333333334,0.0
11,1.0,0.8055555555555555,0.0
12,0.7222222222222222,0.4444444444444444,0.27777777777777773
13,1.0,0.8055555555555555,0.0
14,0.8888888888888888,0.5,0.1111111111111111
15,1.0,0.6388888888888888,0.0
16,0.9166666666666666,0.6666666666666666,0.0
17,0.9166666666666666,0.47222222222222215,0.08333333333333333
18,1.0,0.5833333333333334,0.0
19,1.0,0.8055555555555555,0.0
20,0.6666666666666666,0.5833333333333334,0.2222222222222222
21,0.8055555555555555,0.38888888888888884,0.0
22,0.611111111111111,0.5,0.2222222222222222
23,0.9166666666666666,0.8333333333333334,0.0
24,0.9166666666666666,0.47222222222222215,0.0
25,0.5555555555555555,0.3333333333333333,0.3333333333333333
26,0.6666666666666666,0.5833333333333334,0.2222222222222222
27,0.9166666666666666,0.4444444444444444,0.0
28,1.0,0.8888888888888888,0.0
29,1.0,0.6944444444444443,0.0
30,0.8333333333333334,0.75,0.08333333333333333
31,0.8055555555555555,0.7222222222222222,0.08333333333333333
32,0.9166666666666666,0.7222222222222222,0.0
33,0.8055555555555555,0.4166666666666667,0.19444444444444442
34,0.8888888888888888,0.611111111111111,0.0
35,1.0,0.611111111111111,0.0
36,1.0,0.5,0.0
37,1.0,0.47222222222222215,0.0
38,0.8055555555555555,0.7777777777777777,0.0
39,0.7777777777777777,0.3611111111111111,0.2222222222222222
