PID,object,location,object_and_location
0,0.9166666666666666,0.6388888888888888,0.08333333333333333
1,1.0,0.6666666666666666,0.0
2,0.6666666666666666,0.5277777777777778,0.2222222222222222
3,0.47222222222222215,0.3055555555555555,0.4444444444444444
4,0.6666666666666666,0.25,0.16666666666666666
5,0.3333333333333333,0.3333333333333333,0.6666666666666666
6,0.3333333333333333,0.27777777777777773,0.5555555555555555
7,0.16666666666666666,0.08333333333333333,0.75
8,0.6666666666666666,0.611111111111111,0.2222222222222222
9,0.5833333333333334,0.3611111111111111,0.3333333333333333
10,0.9166666666666666,0.6944444444444443,0.08333333333333333
11,1.0,0.8888888888888888,0.0
12,0.9166666666666666,0.5555555555555555,0.0
13,0.8333333333333334,0.5,0.16666666666666666
14,0.75,0.5833333333333334,0.08333333333333333
15,0.7777777777777777,0.3333333333333333,0.1111111111111111
16,1.0,0.8333333333333334,0.0
17,1.0,0.611111111111111,0.0
18,0.4444444444444444,0.5555555555555555,0.3333333333333333
19,0.6666666666666666,0.6388888888888888,0.1111111111111111
20,0.3611111111111111,0.19444444444444442,0.4444444444444444
21,0.9166666666666666,0.6666666666666666,0.0
22,0.6666666666666666,0.5555555555555555,0.2222222222222222
23,0.6666666666666666,0.9166666666666666,0.0
24,0.6666666666666666,0.5833333333333334,0.2222222222222222
25,0.5,0.5,0.3333333333333333
26,0.9166666666666666,0.6388888888888888,0.0
27,0.6666666666666666,0.6666666666666666,0.1111111111111111
28,0.611111111111111,0.47222222222222215,0.27777777777777773
29,1.0,0.47222222222222215,0.0
30,0.5555555555555555,0.5,0.2222222222222222
31,1.0,0.6666666666666666,0.0
32,0.8055555555555555,0.3611111111111111,0.1111111111111111
33,0.6666666666666666,0.5555555555555555,0.25
34,0.6666666666666666,0.7222222222222222,0.1111111111111111
35,1.0,0.611111111111111,0.0
36,0.6666666666666666,0.5,0.2222222222222222
37,0.5833333333333334,0.5277777777777778,0.3055555555555555
38,0.6666666666666666,0.6666666666666666,0.2222222222222222
39,0.3333333333333333,0.4444444444444444,0.3333333333333333
